"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.00375382321012319,0.940696805062651,0.897571545172839,0.139010402514755,0.802137913178909,0.786031762198909,0.773070118935437
"Tail",0.789667588533877,0.799832303528821,0.810094436576194,0.473916780238633,0.634653443255718,0.0540530376572829,0.0165889181721992
"PRC",0.194349664458446,0.922528351897032,0.999179410302989,0.998472461441343,0.999998829141977,0.972930917489196,0.849464862293356
"FRESEV",0.998696046574058,0.992643067231846,0.994195392995797,0.980937972598481,0.996146106377521,0.998412455836421,0.20055487149538
"TYPEIMP",0.382111703505651,0.0904348121713089,0.953308076197606,0.995425327924292,0.99999947585578,0.995022249476185,0.994956564471841
