"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.989983722445146,0.999999999999999,0.999999999999887,0.99999999999983,0.999999999999747,0.999999999999889,0.999999999999989
"Tail",0.992490835714945,0.999999999999999,0.00655897133300337,0.999999999999999,0.999999999999999,0.999999999999904,0.99999999999999
"PRC",0.979935125906768,0.976630600757073,0.000581496772836499,0.999999999999998,0.999999999999998,0.9826852794034,0.884561438932477
"FRESEV",0.984963441459043,0.983306824454465,0.974429275413451,0.999999999999791,0.999999999999999,0.985570835209594,0.91330697350214
"TYPEIMP",0.984963441459043,0.999999999999888,0.974429275413451,0.987076646150869,2.47610365671071e-09,0.999999999999864,0.91330697350214
