"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.999999999999768,0.999999999999768,0.999999999999944,0.999999999999998,0.999999999999998,0.999999999999945,0.999999999999994
"Tail",1,1,1,0.999999999999998,0.999999999999386,0.999999999999952,0.999999999999995
"PRC",0.999999999999671,0.994135028314198,0.99099725604817,0.99999999999988,0.999999999999821,0.995661666032239,0.971039546678513
"FRESEV",0.999999999999999,0.995821209018984,0.993594079857062,0.999999999999998,1,0.996388629293656,0.978508123217633
"TYPEIMP",0.999999999999999,0.999999999999999,0.993594079857062,0.996769018557923,0.996173030443712,0.999999999999932,0.978508123217633
