"","None","Random"
"Body",0.242638687336756,0.126992670066344
"Tail",0.242638687336756,0.126992670066344
"PRC",0.242638687336756,0.126992670066344
"FRESEV",0.242638687336756,0.126992670066344
"TYPEIMP",0.242638687336756,0.126992670066344
