"","None","Random"
"Body",0.99314237886988,0.228670766433934
"Tail",0.996601365013127,0.480061962898602
"PRC",0.999998983242819,0.981324635111721
"FRESEV",0.999999796963307,0.833969803558644
"TYPEIMP",0.99999563735981,0.0135321766140781
