"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.241436450970276,0.105110126769054,0.213309305083417,0.241436450970276,0.220220646601699,0.0432983159418658,0.199148273471456
"Tail",0.241436450970276,0.105110126769054,0.213309305083417,0.241436450970276,0.220220646601699,0.0432983159418658,0.199148273471456
"PRC",0.241436450970276,0.105110126769054,0.213309305083417,0.241436450970276,0.220220646601699,0.0432983159418658,0.199148273471456
"FRESEV",0.241436450970276,0.105110126769054,0.213309305083417,0.241436450970276,0.220220646601699,0.0432983159418658,0.199148273471456
"TYPEIMP",0.241436450970276,0.109399369642739,0.213309305083417,0.241436450970276,0.220220646601699,0.0432983159418658,0.199148273471456
