"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.999999999999945,0.925455789243115,0.998162773437146,0.998162773437146,0.936843073050173,0.938868937607486,0.999999999999964
"Tail",0.999999999999998,0.999999999999998,0.952622766344655,0.952622766344655,0.952622766344655,0.999070673087636,0.949694644105317
"PRC",0.863726812946084,0.95967634430779,0.999733141472349,0.999776244992562,0.999995085149634,0.999996229753223,0.999081801632635
"FRESEV",0.978022818761576,0.886754773193104,0.999912906124533,0.995676775525028,0.995973803325765,0.999930419829196,0.985400956665111
"TYPEIMP",0.980708676654257,0.975223666295846,0.997053789887287,0.99993249840513,0.999999125832118,0.996756947062807,0.977111926225397
