"","2013","2014","2015","2016","2017","2018","2019"
"Body",0.220220646601699,0.221233023288301,0.213309305083417,0.220220646601699,0.220220646601699,0.0291643956231523,0.199148273471456
"Tail",0.220220646601699,0.221233023288301,0.213309305083417,0.220220646601699,0.220220646601699,0.0291643956231523,0.199148273471456
"PRC",0.220220646601699,0.221233023288301,0.213309305083417,0.220220646601699,0.220220646601699,0.0291643956231523,0.199148273471456
"FRESEV",0.220220646601699,0.221233023288301,0.213309305083417,0.220220646601699,0.220220646601699,0.0291643956231523,0.199148273471456
"TYPEIMP",0.220220646601699,0.233786496118068,0.213309305083417,0.220220646601699,0.220220646601699,0.0291643956231523,0.199148273471456
